,precision,recall,f1-score,support
Built-up,0.7472067039106145,0.8799342105263158,0.8081570996978852,608.0
Soil,0.8236363636363636,0.7450657894736842,0.7823834196891192,608.0
Vegetation,0.9022435897435898,0.9244663382594417,0.9132197891321979,609.0
Water,0.9263351749539595,0.8273026315789473,0.8740225890529973,608.0
accuracy,0.8442252363337444,0.8442252363337444,0.8442252363337444,0.8442252363337444
macro avg,0.8498554580611319,0.8441922424595972,0.8444457243930499,2433.0
weighted avg,0.849876990379949,0.8442252363337444,0.8444739915795435,2433.0
